1,1,근접형1 (초등혜나& 스완)_1강화Type,1.03,1.02,1.04,1.01,1.01,1.03,1.03,1.02,1.05
1,2,근접형2 (고등혜나& 단테& 체어샷 헤이즈)_1강화Type,1.02,1.04,1.02,1.05,1.03,1.03,1.01,1.01,1.03
1,3,근접형3 (암살자랩터& 염호& 트래시)_1강화Type,1.01,1.03,1.01,1.02,1.02,1.05,1.03,1.04,1.03
1,4,근접형4 (랩터& 베놈)_1강화Type,1.01,1.05,1.02,1.02,1.04,1.03,1.01,1.03,1.03
1,5,근접형5 (스텔& 은비단)_1강화Type,1.02,1.01,1.02,1.03,1.03,1.04,1.03,1.05,1.01
1,6,근접형6 (송하)_1강화Type,1.02,1.01,1.02,1.03,1.03,1.04,1.03,1.05,1.01
1,7,마법형1 (고등나가& 루리)_1강화Type,1.02,1.01,1.02,1.03,1.03,1.04,1.03,1.05,1.01
1,8,마법형2 (SPOON나가& 상제)_1강화Type,1.02,1.01,1.02,1.03,1.03,1.04,1.03,1.05,1.01
1,9,마법형3 (영정)_1강화Type,1.02,1.01,1.02,1.03,1.03,1.04,1.03,1.05,1.01
1,10,마법형4 (에트나드& 레드럼)_1강화Type,1.02,1.01,1.02,1.03,1.03,1.04,1.03,1.05,1.01
1,11,마법형5 (퇴마사헤이즈& 황로& 물보라)_1강화Type,1.02,1.01,1.02,1.03,1.03,1.04,1.03,1.05,1.01
1,12,마법형6 (청년 나가& 솔로몬)_1강화Type,1.02,1.01,1.02,1.03,1.03,1.04,1.03,1.05,1.01
1,13,방어형1 (서장다나)_1강화Type,1.02,1.01,1.02,1.03,1.03,1.04,1.03,1.05,1.01
1,14,방어형2 (고등나가& 사장유다)_1강화Type,1.02,1.01,1.02,1.03,1.03,1.04,1.03,1.05,1.01
1,15,방어형3 (어린귀능& 오르카& 고등유다& 오터)_1강화Type,1.02,1.01,1.02,1.03,1.03,1.04,1.03,1.05,1.01
1,16,방어형4 (비서귀능& 사하라)_1강화Type,1.02,1.01,1.02,1.03,1.03,1.04,1.03,1.05,1.01
1,17,방어형5 (로나& 비비안& 그레고르)_1강화Type,1.02,1.01,1.02,1.03,1.03,1.04,1.03,1.05,1.01
1,18,원거리형1 (저격사사& 로지& 레이디& 듄)_1강화Type,1.02,1.01,1.02,1.03,1.03,1.04,1.03,1.05,1.01
1,19,원거리형2 (비행사사)_1강화Type,1.02,1.01,1.02,1.03,1.03,1.04,1.03,1.05,1.01
1,20,원거리형3 (입초사사& 마고& 데네브)_1강화Type,1.02,1.01,1.02,1.03,1.03,1.04,1.03,1.05,1.01
1,21,원거리형4 (젤리나)_1강화Type,1.02,1.01,1.02,1.03,1.03,1.04,1.03,1.05,1.01
1,22,원거리형5 (세월& 언럭키)_1강화Type,1.02,1.01,1.02,1.03,1.03,1.04,1.03,1.05,1.01
1,23,지원형1 (데일& 메두사)_1강화Type,1.02,1.01,1.02,1.03,1.03,1.04,1.03,1.05,1.01
1,24,지원형2 (녹턴& 레인)_1강화Type,1.02,1.01,1.02,1.03,1.03,1.04,1.03,1.05,1.01
1,25,지원형3 (백모래& 아모르)_1강화Type,1.02,1.01,1.02,1.03,1.03,1.04,1.03,1.05,1.01
1,26,지원형4 (오수& 일호)_1강화Type,1.02,1.01,1.02,1.03,1.03,1.04,1.03,1.05,1.01
1,27,지원형5 (이호)_1강화Type,1.02,1.01,1.02,1.03,1.03,1.04,1.03,1.05,1.01
